IDN4,obec,populace,centroid-lat,centroid-lon,obec_code,víťaz,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec
500500,Machulince,1101,48.4123979,18.4500759,500500.0,Pellegrini,0.0,1.28,0.0,15.66,34.61,0.18,2.19,4.55,0.0,41.53,0.0
500518,Veľké Chyndice,338,48.2856616,18.2874085,500518.0,Pellegrini,0.0,0.62,0.62,11.25,33.12,0.0,0.62,3.12,0.0,50.62,0.0
500534,Malé Zálužie,266,48.435782,17.9839318,500534.0,Pellegrini,0.0,0.0,0.0,12.24,33.33,0.0,1.36,0.0,0.0,53.06,0.0
500542,Mankovce,528,48.421587,18.328842,500542.0,Pellegrini,0.0,0.0,0.0,7.63,24.81,0.38,1.15,3.82,0.38,61.83,0.0
500551,Martin nad Žitavou,535,48.3940694,18.3551247,500551.0,Pellegrini,0.0,0.73,0.0,17.52,27.74,2.19,0.36,4.74,0.36,46.35,0.0
500569,Melek,497,48.2021869,18.3321367,500569.0,Pellegrini,0.36,0.73,0.36,13.14,32.12,0.0,1.46,2.92,0.73,47.81,0.36
500577,Mojmírovce,2922,48.2011947,18.0644879,500577.0,Pellegrini,0.17,1.04,0.09,11.93,29.3,0.35,1.82,2.42,0.0,52.9,0.0
500585,Nemčiňany,654,48.3019881,18.4497633,500585.0,Pellegrini,0.0,0.33,0.0,16.34,27.45,0.0,0.65,1.31,0.0,53.59,0.33
500593,Neverice,692,48.3650626,18.2784108,500593.0,Pellegrini,0.0,0.0,0.0,11.99,24.92,0.95,0.63,2.21,0.32,58.99,0.0
500607,Nevidzany (ZM),583,48.2828559,18.3786424,500607.0,Pellegrini,0.0,1.03,0.0,14.38,37.67,0.68,1.03,2.05,0.0,43.15,0.0
500631,Nová Ves nad Žitavou,1338,48.2853228,18.3239076,500631.0,Pellegrini,0.31,0.63,0.0,8.46,29.62,0.63,2.04,1.88,0.0,56.11,0.31
500640,Nové Sady,1296,48.4206989,17.9625527,500640.0,Pellegrini,0.0,0.43,0.0,15.03,30.2,0.14,1.59,1.3,0.14,50.87,0.29
500658,Obyce,1510,48.4305965,18.4912106,500658.0,Pellegrini,0.41,0.55,0.14,17.08,30.58,0.41,1.52,0.69,0.0,48.21,0.41
500666,Paňa,392,48.2321714,18.2364409,500666.0,Pellegrini,0.0,0.0,2.14,11.23,38.5,1.6,1.6,3.74,0.53,40.64,0.0
500674,Podhorany (NR),1085,48.3724626,18.118279,500674.0,Pellegrini,0.0,0.18,0.37,11.25,38.56,0.18,2.77,1.66,0.18,44.83,0.0
500682,Pohranice - Pográny,1112,48.3292585,18.1759353,500682.0,Pellegrini,0.0,0.18,18.43,15.33,28.65,0.55,1.64,1.46,0.0,33.39,0.36
500691,Poľný Kesov,654,48.1619884,18.0493375,500691.0,Pellegrini,0.0,0.62,0.62,12.69,30.96,0.62,0.93,2.17,0.0,51.39,0.0
500704,Rišňovce,2096,48.3612489,17.9079129,500704.0,Pellegrini,0.1,0.93,0.0,15.65,29.84,0.31,1.66,2.07,0.1,49.22,0.1
500712,Rumanová,821,48.3372973,17.8722082,500712.0,Pellegrini,0.23,0.7,0.0,14.45,27.74,0.23,0.93,1.4,0.0,53.85,0.47
500721,Skýcov,948,48.5144718,18.4449515,500721.0,Pellegrini,0.0,0.42,0.21,10.83,21.23,0.21,1.91,1.49,0.21,63.27,0.21
500739,Močenok,4356,48.2125064,17.9389261,500739.0,Pellegrini,0.42,1.53,0.11,12.65,35.79,0.79,1.85,2.74,0.16,43.91,0.05
500747,Sľažany,1712,48.3854542,18.3250169,500747.0,Pellegrini,0.12,0.35,0.12,13.53,27.76,0.82,1.29,3.41,0.24,52.24,0.12
500755,Slepčany,813,48.3073565,18.3325277,500755.0,Pellegrini,0.25,0.5,0.0,7.69,30.27,0.25,1.74,2.48,0.0,56.58,0.25
500780,Šurianky,588,48.4131248,18.0275581,500780.0,Pellegrini,0.0,0.0,0.29,13.57,33.63,0.29,1.18,1.18,0.0,49.56,0.29
500798,Tajná,275,48.2618137,18.3674446,500798.0,Pellegrini,0.0,0.0,0.7,19.58,30.07,0.0,0.0,1.4,0.0,48.25,0.0
500810,Tesárske Mlyňany,1761,48.3419313,18.3598803,500810.0,Pellegrini,0.0,0.26,0.0,16.45,28.83,0.51,1.4,3.06,0.13,49.23,0.13
500828,Topoľčianky,2704,48.4496145,18.3991927,500828.0,Pellegrini,0.0,1.28,0.08,12.56,37.07,0.45,1.43,1.73,0.0,45.34,0.08
500836,Velčice,851,48.4437958,18.2807966,500836.0,Pellegrini,0.0,0.48,0.0,20.53,27.54,0.48,0.97,0.72,0.0,49.28,0.0
500844,Veľká Dolina,683,48.1786892,18.0134097,500844.0,Pellegrini,0.0,0.58,0.0,16.33,29.45,1.17,0.29,1.17,0.29,50.73,0.0
500887,Veľké Zálužie,4350,48.3119222,17.9389566,500887.0,Pellegrini,0.1,0.63,0.05,14.49,39.85,0.31,1.2,1.83,0.0,41.53,0.0
500895,Veľký Cetín - Nagycétény,1626,48.225392,18.1970849,500895.0,Forró,0.0,0.31,30.96,11.76,29.57,0.62,0.46,3.25,0.31,22.45,0.31
500909,Vieska nad Žitavou,463,48.3178919,18.3554573,500909.0,Pellegrini,0.0,0.0,0.0,16.81,29.31,0.0,0.43,1.29,0.86,51.29,0.0
500917,Vinodol,2061,48.189896,18.2144296,500917.0,Pellegrini,0.13,0.26,0.39,11.83,35.5,0.65,1.17,1.3,0.26,48.24,0.26
500925,Volkovce,1013,48.3412547,18.466489,500925.0,Pellegrini,0.0,0.21,0.0,13.7,32.98,0.64,1.5,1.07,0.0,49.89,0.0
500933,Vráble,8593,48.2426443,18.3114002,500933.0,Pellegrini,0.1,0.65,0.88,10.91,38.13,0.29,1.77,1.77,0.08,45.38,0.05
500941,Výčapy-Opatovce,2197,48.4151188,18.0745855,500941.0,Pellegrini,0.09,0.93,0.65,7.03,42.37,0.65,1.94,2.59,0.0,43.66,0.09
500950,Zbehy,2222,48.3662476,18.0001247,500950.0,Pellegrini,0.0,0.73,0.0,10.44,34.25,0.37,1.56,1.19,0.0,51.1,0.37
500968,Zlaté Moravce,11946,48.3756252,18.3982496,500968.0,Pellegrini,0.12,0.58,0.15,13.25,34.29,0.65,1.82,2.17,0.15,46.72,0.1
500976,Zlatno (ZM),211,48.4663634,18.3113504,500976.0,Pellegrini,0.83,1.67,0.0,13.33,12.5,1.67,0.83,0.0,0.0,69.17,0.0
500984,Žikava,528,48.4545141,18.3809451,500984.0,Pellegrini,0.0,1.59,0.0,16.73,26.69,0.0,0.8,2.79,0.0,51.0,0.4
500992,Žirany - Zsére,1360,48.3790657,18.1762059,500992.0,Korčok,0.0,0.0,16.67,11.29,37.28,0.36,1.25,1.79,0.0,31.18,0.18
501018,Žitavce,412,48.1906958,18.3152051,501018.0,Pellegrini,0.0,0.0,0.0,19.59,23.71,0.52,2.06,0.0,2.58,51.55,0.0
501026,Komárno - Komárom,32967,47.7854073,18.1018126,501026.0,Korčok,0.05,0.37,25.56,7.63,33.35,0.36,1.47,2.43,0.01,28.72,0.06
501034,Bajč - Bajcs,1223,47.929,18.2267971,501034.0,Korčok,0.0,0.52,17.62,6.99,34.46,0.78,1.3,6.22,0.0,32.12,0.0
501042,Bodza - Bogya,381,47.8483476,17.8526635,501042.0,Forró,0.0,1.25,62.5,3.75,3.75,0.0,2.5,3.75,0.0,22.5,0.0
501069,Brestovec (KN) - Szilas,485,47.8760369,17.8354078,501069.0,Forró,0.0,0.0,73.05,4.96,6.38,0.71,0.0,0.0,0.0,14.89,0.0
501077,Búč - Búcs,1148,47.8032691,18.4692484,501077.0,Forró,0.55,0.27,63.93,3.55,6.83,0.27,0.27,0.82,0.0,23.5,0.0
501085,Čalovec - Megyercs,1114,47.8360003,17.967073,501085.0,Forró,0.0,0.0,42.06,7.24,15.6,1.11,0.28,5.57,0.0,28.13,0.0
501093,Číčov - Csicsó,1231,47.7832232,17.7581597,501093.0,Forró,0.32,0.0,68.51,4.87,7.47,0.32,0.32,1.95,0.0,16.23,0.0
501107,Dedina Mládeže - Ifjúságfalva,438,47.9528371,17.989867,501107.0,Pellegrini,0.0,0.0,20.17,10.08,14.29,0.0,0.84,3.36,0.0,51.26,0.0
501115,Svätý Peter - Komáromszentpéter,2735,47.8347701,18.2318868,501115.0,Forró,0.12,0.0,44.67,7.62,18.87,0.7,0.23,3.05,0.12,24.62,0.0
501123,Dulovce,1648,47.873165,18.2675265,501123.0,Pellegrini,0.0,0.0,1.04,12.01,32.51,0.41,0.41,2.28,0.0,51.35,0.0
501140,Hurbanovo - Ógyalla,7467,47.8673848,18.189955,501140.0,Korčok,0.08,0.25,17.56,9.67,34.49,0.21,1.32,3.31,0.25,32.71,0.13
501158,Chotín - Hetény,1375,47.8104386,18.2279099,501158.0,Forró,0.24,0.0,60.64,7.58,14.67,0.24,0.0,2.44,0.0,14.18,0.0
501166,Imeľ - Ímely,1982,47.8960651,18.1332512,501166.0,Korčok,0.16,0.63,21.07,10.22,37.42,0.0,1.26,3.62,0.0,25.31,0.31
501174,Iža - Izsa,1781,47.7642938,18.2296398,501174.0,Forró,0.0,0.0,37.37,8.35,23.17,0.0,0.42,2.92,0.21,27.14,0.42
501182,Kameničná - Keszegfalva,1934,47.8425925,18.0068291,501182.0,Forró,0.45,0.0,41.18,6.56,17.19,0.68,0.23,1.36,0.0,32.35,0.0
501191,Klížska Nemá - Kolozsnéma,449,47.7560045,17.833828,501191.0,Forró,0.0,0.82,63.11,6.56,7.38,0.82,0.0,2.46,0.82,18.03,0.0
501204,Kolárovo - Gúta,10572,47.968649,18.0145144,501204.0,Forró,0.12,0.16,45.01,7.31,19.64,0.28,0.36,2.38,0.2,24.4,0.12
501212,Kravany nad Dunajom - Karva,718,47.7737494,18.4825165,501212.0,Forró,0.0,0.43,47.39,7.83,13.91,0.0,1.3,3.91,0.87,24.35,0.0
501221,Lipové,142,47.8457766,17.871058,501221.0,Korčok,1.27,0.0,3.8,6.33,62.03,0.0,1.27,1.27,0.0,24.05,0.0
501239,Marcelová - Marcelháza,3802,47.7916157,18.2889398,501239.0,Forró,0.0,0.47,64.24,3.87,9.96,0.35,0.12,3.87,0.0,17.12,0.0
501247,Martovce - Martos,694,47.8640466,18.1094253,501247.0,Forró,0.47,0.47,63.98,4.27,5.69,0.0,0.0,2.37,0.47,22.27,0.0
501255,Moča - Dunamocs,1132,47.7729754,18.4084843,501255.0,Forró,0.0,0.68,64.86,5.07,9.8,0.34,0.68,2.7,0.0,15.88,0.0
501263,Modrany - Madar,1315,47.8170837,18.3551084,501263.0,Forró,0.0,0.48,76.44,2.88,5.29,0.48,0.0,0.48,0.0,13.94,0.0
501271,Mudroňovo,124,47.8299536,18.3220448,501271.0,Pellegrini,0.0,0.0,0.0,20.0,10.0,2.5,5.0,0.0,0.0,62.5,0.0
501280,Nesvady - Naszvad,5014,47.9271767,18.1048316,501280.0,Korčok,0.08,0.39,25.99,7.5,34.91,0.39,0.79,3.79,0.0,26.07,0.08
501301,Okoličná na Ostrove - Ekel,1440,47.8157165,17.9235321,501301.0,Forró,0.0,0.31,54.4,8.81,8.49,0.0,0.63,2.2,0.31,24.84,0.0
501310,Patince - Pat,527,47.7439357,18.2920231,501310.0,Forró,0.0,0.93,29.3,22.79,22.79,0.47,0.93,0.93,0.0,21.4,0.47
501328,Pribeta - Perbete,2745,47.9005598,18.3140815,501328.0,Forró,0.0,0.13,48.86,5.92,16.29,0.27,0.4,3.9,0.13,23.96,0.13
501336,Radvaň nad Dunajom - Dunaradvány,711,47.7599096,18.3557923,501336.0,Forró,0.0,0.0,59.57,5.11,15.32,0.0,0.43,0.85,0.0,18.72,0.0
501344,Sokolce - Lakszakállas,1203,47.8772367,17.8624852,501344.0,Forró,0.0,0.33,62.71,5.28,13.2,1.32,0.33,0.33,0.0,16.17,0.33
501352,Šrobárová,505,47.8052235,18.3220504,501352.0,Pellegrini,0.0,0.0,0.43,15.58,30.3,0.43,2.6,2.6,0.0,47.62,0.43
501361,Tôň - Tany,737,47.8030855,17.8276298,501361.0,Forró,0.0,0.0,62.13,7.23,7.23,0.0,0.0,3.83,0.0,19.57,0.0
501379,Trávnik - Komáromfüss,683,47.7675602,17.7942617,501379.0,Forró,0.0,0.0,54.48,14.48,7.59,0.69,0.69,0.69,0.0,21.38,0.0
501387,Veľké Kosihy - Nagykeszi,945,47.7673067,17.8830318,501387.0,Forró,0.34,0.0,68.15,3.42,7.88,0.0,0.34,2.4,0.0,17.47,0.0
501395,Bátorove Kosihy - Bátorkeszi,3323,47.8396073,18.4041733,501395.0,Forró,0.14,0.27,54.69,6.94,10.48,0.14,0.54,2.45,0.0,24.35,0.0
501409,Vrbová nad Váhom - Vágfüzes,543,47.8539933,18.0594026,501409.0,Forró,1.42,0.0,50.35,4.96,12.77,0.0,0.0,3.55,0.0,26.95,0.0
501417,Zemianska Olča - Nemesócsa,2317,47.8287121,17.883916,501417.0,Forró,0.0,0.47,61.79,3.3,13.44,0.24,0.0,1.89,0.0,18.87,0.0
501425,Zlatná na Ostrove - Csallóközaranyos,2428,47.7742499,17.9624712,501425.0,Forró,0.0,0.41,61.22,5.71,10.61,0.0,0.0,2.04,0.0,20.0,0.0
501433,Dunajská Streda - Dunaszerdahely,23044,48.0152783,17.6312798,501433.0,Forró,0.1,1.45,34.82,4.95,33.0,0.47,0.93,2.77,0.02,21.49,0.02
501441,Báč - Bacsfa,546,48.0074168,17.3758017,501441.0,Forró,0.4,1.21,38.31,10.89,31.05,0.4,1.21,0.81,0.0,15.73,0.0
501450,Baka - Baka,1136,47.8919146,17.5203255,501450.0,Forró,0.27,0.27,55.04,2.45,19.89,0.0,0.27,0.82,0.0,20.98,0.0
501468,Baloň - Balony,720,47.8426503,17.6546568,501468.0,Forró,0.49,0.0,73.04,3.43,9.31,0.49,0.0,1.47,0.0,11.76,0.0
501484,Blahová - Sárrét,360,48.0938924,17.5530887,501484.0,Korčok,0.0,1.68,10.61,16.2,34.64,1.68,1.68,0.0,0.0,33.52,0.0
501492,Blatná na Ostrove - Sárosfa,981,47.9675052,17.4524126,501492.0,Forró,0.0,0.0,44.79,7.04,28.45,0.0,1.13,1.69,0.0,16.9,0.0
501506,Boheľov - Bögellő,343,47.9051435,17.6962805,501506.0,Forró,0.0,4.39,53.51,1.75,18.42,0.88,0.0,5.26,0.0,15.79,0.0
501514,Čakany - Pozsonycsákány,651,48.1153643,17.373445,501514.0,Korčok,0.0,1.26,19.67,3.35,44.77,0.0,2.51,1.67,0.0,26.78,0.0
501522,Veľký Meder - Nagymegyer,8446,47.8577623,17.7490698,501522.0,Forró,0.0,0.18,39.89,4.29,21.5,0.41,0.76,3.58,0.06,29.32,0.0
501531,Čiližská Radvaň - Csilizradvány,1175,47.8315833,17.7061411,501531.0,Forró,0.48,0.48,52.63,5.26,20.1,0.0,0.0,4.31,0.0,16.75,0.0
501549,Dobrohošť - Doborgaz,517,47.986708,17.3618509,501549.0,Korčok,0.0,0.41,13.28,9.96,48.96,0.41,2.49,2.49,0.0,21.99,0.0
501557,Dolný Bar - Albár,819,47.9657611,17.7029015,501557.0,Pellegrini,0.39,0.39,27.91,9.3,28.29,0.0,0.78,3.88,0.0,28.68,0.39
501573,Gabčíkovo - Bős,5232,47.8755834,17.5824056,501573.0,Forró,0.22,0.44,47.39,4.42,20.68,0.07,0.37,2.94,0.0,23.47,0.0
501581,Holice - Egyházgelle,2144,47.9896172,17.4776484,501581.0,Forró,0.28,0.0,53.52,7.18,20.0,0.42,0.99,2.39,0.0,15.21,0.0
501590,Horná Potôň - Felsőpatony,2114,48.0586086,17.529611,501590.0,Forró,0.0,0.14,33.38,6.4,30.25,0.41,0.82,1.91,0.0,26.7,0.0
501603,Horný Bar - Felbár,1244,47.9459343,17.46176,501603.0,Korčok,0.0,0.9,28.54,7.19,30.79,0.22,1.12,0.9,0.0,30.34,0.0
501611,Dolný Štál - Alistál,1908,47.9348569,17.7373169,501611.0,Forró,0.0,0.0,54.77,4.77,15.08,0.0,0.0,2.51,0.0,22.86,0.0
501620,Hubice - Nemesgomba,626,48.0957629,17.3981366,501620.0,Korčok,0.0,0.36,25.36,5.07,40.22,0.36,3.26,2.9,0.0,22.1,0.36
501638,Hviezdoslavov,2472,48.0713267,17.3556563,501638.0,Korčok,0.0,1.22,0.55,9.56,65.25,0.12,2.01,1.16,0.3,19.78,0.06
501654,Jahodná - Pozsonyeperjes,1654,48.0467292,17.7189146,501654.0,Forró,0.0,0.7,53.05,7.04,22.77,0.23,0.94,3.99,0.0,11.27,0.0
501662,Janíky - Jányok,915,48.1436946,17.4027415,501662.0,Forró,0.0,0.22,36.69,6.71,35.57,0.89,0.67,2.91,0.22,16.11,0.0
501671,Jurová - Dercsika,480,47.935046,17.5274187,501671.0,Forró,0.0,0.0,56.64,6.99,16.78,0.0,1.4,1.4,0.0,16.78,0.0
501689,Kľúčovec - Kulcsod,362,47.7871753,17.7097084,501689.0,Forró,0.91,0.0,73.64,4.55,5.45,0.0,0.91,5.45,0.0,9.09,0.0
501697,Kostolné Kračany - Egyházkarcsa,1419,47.9696754,17.5750086,501697.0,Forró,0.0,0.49,40.49,6.42,19.26,0.25,0.25,3.21,0.0,29.63,0.0
501701,Kráľovičove Kračany - Királyfiakarcsa,1093,47.9798488,17.5478317,501701.0,Forró,0.0,0.67,42.62,8.05,25.17,0.0,0.67,1.34,0.0,21.48,0.0
501719,Kútniky - Hegyéte,1466,47.9770338,17.6669565,501719.0,Forró,0.24,2.12,33.65,9.41,28.71,0.24,0.47,1.65,0.0,23.53,0.0
501727,Kvetoslavov,1744,48.051478,17.3385232,501727.0,Korčok,0.1,0.9,3.12,5.83,68.24,0.2,2.11,1.21,0.3,17.89,0.1
501735,Lehnice - Lég,2965,48.0559811,17.4606648,501735.0,Korčok,0.09,0.37,14.76,9.75,40.48,0.37,1.67,3.34,0.19,28.88,0.09
501743,Lúč na Ostrove - Lúcs,711,47.9652393,17.5120216,501743.0,Forró,0.46,0.46,48.17,5.05,17.43,0.46,0.46,3.21,0.46,23.85,0.0
501760,Medveďov - Medve,532,47.7981282,17.6727199,501760.0,Forró,0.0,0.78,49.61,3.88,16.28,0.0,0.0,0.78,0.0,28.68,0.0
501778,Mierovo - Béke,444,48.0650681,17.3915571,501778.0,Forró,0.0,0.0,32.11,8.95,31.58,0.0,1.58,2.63,0.0,23.16,0.0
501786,Michal na Ostrove - Szentmihályfa,1031,48.0434571,17.5420091,501786.0,Korčok,0.0,0.85,28.21,11.68,28.77,0.28,0.85,2.56,0.0,26.78,0.0
501808,Nový Život - Illésháza,2306,48.1141019,17.4827096,501808.0,Forró,0.0,0.28,35.52,8.53,30.49,0.14,0.42,4.34,0.0,20.14,0.14
501816,Ohrady - Csallóközkürt,1359,48.0029355,17.7064239,501816.0,Forró,0.0,0.59,56.18,7.94,15.29,0.59,0.29,1.47,0.0,17.65,0.0
501824,Okoč - Ekecs,3704,47.9125061,17.8197288,501824.0,Forró,0.0,0.24,69.16,2.53,9.88,0.0,0.12,1.81,0.12,16.14,0.0
501832,Oľdza - Olgya,559,48.0826234,17.4226667,501832.0,Korčok,0.0,1.1,12.87,9.56,51.47,0.37,2.21,0.74,0.0,21.69,0.0
501859,Orechová Potôň - Diósförgepatony,1705,48.0835374,17.6655532,501859.0,Forró,0.21,0.43,39.66,4.9,33.69,0.21,0.43,3.62,0.0,16.63,0.21
501867,Padáň - Padány,912,47.9166057,17.6715416,501867.0,Forró,0.0,1.06,47.09,6.35,16.4,0.0,0.53,2.65,0.0,25.93,0.0
501875,Sap - Szap,508,47.8214388,17.6054715,501875.0,Forró,0.0,0.0,73.08,2.75,6.04,0.55,0.0,0.0,0.0,17.58,0.0
501883,Pataš - Csilizpatas,808,47.8695798,17.6648134,501883.0,Forró,0.0,0.53,61.05,5.26,9.47,1.05,0.53,2.63,0.0,19.47,0.0
501891,Rohovce - Nagyszarva,1108,47.9773255,17.4170938,501891.0,Forró,0.29,0.59,45.45,8.5,29.03,0.29,0.0,2.35,0.0,13.49,0.0
501905,Šamorín - Somorja,13628,48.0195397,17.3119962,501905.0,Korčok,0.12,0.74,19.43,7.27,47.85,0.21,1.13,2.31,0.04,20.87,0.02
501913,Štvrtok na Ostrove - Csallóközcsütörtök,1714,48.1016468,17.3428251,501913.0,Korčok,0.18,0.36,24.96,9.63,40.29,0.18,1.25,2.67,0.0,20.5,0.0
501921,Topoľníky - Nyárasd,3116,47.9651673,17.8078449,501921.0,Forró,0.13,0.38,54.45,5.47,12.21,0.13,0.76,2.29,0.0,24.17,0.0
501930,Ňárad - Csiliznyárad,631,47.8343171,17.6248801,501930.0,Forró,0.0,0.92,60.83,5.07,15.67,0.0,0.46,2.3,0.46,14.29,0.0
501956,Trnávka (DS) - Csallóköztárnok,522,48.0166356,17.4035745,501956.0,Korčok,0.0,1.04,33.33,4.69,33.85,0.0,0.0,3.12,0.52,22.92,0.52
501964,Trstená na Ostrove - Csallóköznádasd,578,47.919986,17.5048588,501964.0,Forró,0.0,0.5,44.55,5.94,28.22,0.5,0.5,2.48,0.0,17.33,0.0
501972,Veľká Paka - Nagypaka,984,48.0411995,17.3999255,501972.0,Korčok,0.0,0.23,11.74,11.96,49.44,0.68,2.03,2.03,0.0,21.67,0.23
501981,Veľké Blahovo - Nagyabony,1589,48.0396333,17.5946333,501981.0,Forró,0.0,0.56,42.78,8.89,18.89,0.0,0.28,3.06,0.0,25.28,0.28
501999,Vojka nad Dunajom - Vajka,460,47.9585632,17.3986569,501999.0,Korčok,0.0,2.15,19.74,7.73,45.06,0.0,1.72,2.58,0.43,20.17,0.43
502006,Vrakúň - Nyékvárkony,2794,47.9277845,17.6111218,502006.0,Forró,0.14,0.82,59.02,5.33,16.94,0.0,0.41,1.91,0.27,15.16,0.0
502014,Vydrany - Nemeshodos,1783,48.0434315,17.6226549,502014.0,Forró,0.21,1.07,40.34,5.79,21.67,0.21,0.64,4.72,0.0,25.32,0.0
502022,Zlaté Klasy - Nagymagyar,3611,48.1307668,17.4371825,502022.0,Pellegrini,0.0,0.73,24.68,7.13,28.88,0.18,0.55,5.85,0.18,31.81,0.0
502031,Levice,31974,48.2015586,18.6456576,502031.0,Korčok,0.05,0.54,2.95,10.13,47.82,0.56,1.75,2.01,0.16,33.98,0.05
